Numero,Mot,example sentence (facile),Corrected Sentence
749,Justification,He provided a detailed justification for the budget increase,He provided a detailed justification for the budget increase
750,Justify,You need to justify the additional expenses in your report.,You need to justify the additional expenses in your report.
751,Keen,She is keen to learn more about the new project.,She is keen to learn more about the new project.
752,Keep,Please keep all confidential documents in a secure location.,Please keep all confidential documents in a secure location.
753,keep,We need to keep track of all project milestones.,We need to keep track of all project milestones.
754,Knock,Please knock before entering the office.,Please knock before entering the office.
755,Know,I need to know the deadline for the project,I need to know the deadline for the project
756,Knowledge,Her extensive knowledge of the industry is a great asset to the team.,Her extensive knowledge of the industry is a great asset to the team.
757,Knowledgeable,He is very knowledgeable about the latest technology trends.,He is very knowledgeable about the latest technology trends.
758,Label,Make sure to label all files clearly for easy identification.,Make sure to label all files clearly for easy identification.
759,Labor,The project required significant labor to complete on time,The project required significant labor to complete on time
760,Lack,The team faced challenges due to a lack of resources.,The team faced challenges due to a lack of resources.
761,Landlord,The landlord agreed to fix the heating system promptly.,The landlord agreed to fix the heating system promptly.
762,Laptop,She uses her laptop for most of her work tasks,She uses her laptop for most of her work tasks
763,Launch,The company will launch the new product next month.,The company will launch the new product next month.
764,Law,The new regulations are based on recent changes in the law.,The new regulations are based on recent changes in the law.
765,Lay off,The company had to lay off several employees due to budget cuts,The company had to lay off several employees due to budget cuts
766,Leak,There was a leak in the system that compromised the data.,There was a leak in the system that compromised the data.
767,Lean,The company needs to lean on its strengths to stay competitive.,The company needs to lean on its strengths to stay competitive.
768,Lease,We decided to lease the office space for five years.,We decided to lease the office space for five years.
769,Leisure,He enjoys leisure activities like reading and hiking on weekends.,He enjoys leisure activities like reading and hiking on weekends.
770,Lend,Could you lend me your notes for the meeting?,Could you lend me your notes for the meeting?
771,Lengthy,"The review process was lengthy, but it was thorough.","The review process was lengthy, but it was thorough."
772,Level off,Sales figures are expected to level off after the initial surge.,Sales figures are expected to level off after the initial surge.
773,Liability,The company has a liability to ensure safe working conditions.,The company has a liability to ensure safe working conditions.
774,License,Ensure you have a valid license before operating the equipment.,Ensure you have a valid license before operating the equipment.
775,Licensing,The licensing process for the new software is straightforward.,The licensing process for the new software is straightforward.
776,Lie,Don’t lie about your qualifications on the resume.,Don’t lie about your qualifications on the resume.
777,Limited,The offer is available for a limited time only.,The offer is available for a limited time only.
778,Limousine,The client arrived at the event in a luxury limousine.,The client arrived at the event in a luxury limousine.
779,Line,Please stand in line to check in for your flight.,Please stand in line to check in for your flight.
780,List,I’ve created a list of items to purchase for the office.,I’ve created a list of items to purchase for the office.
781,Livestock,"The farm's livestock includes cattle, sheep, and chickens.","The farm's livestock includes cattle, sheep, and chickens."
782,Loan,They applied for a loan to finance the new business venture.,They applied for a loan to finance the new business venture.
783,Lobby,The company’s new headquarters has a spacious lobby that impresses all visitors.,The company’s new headquarters has a spacious lobby that impresses all visitors.
784,Local,We prefer to support local businesses whenever possible.,We prefer to support local businesses whenever possible.
785,Locate,The HR department is trying to locate the missing employee files.,The HR department is trying to locate the missing employee files.
786,Location,The retail store's prime location in the city center attracts a lot of foot traffic.,The retail store's prime location in the city center attracts a lot of foot traffic.
787,Log on,Employees need to log on to the company’s intranet daily to check for updates.,Employees need to log on to the company’s intranet daily to check for updates.
788,Log out,Please remember to log out of your account before leaving the office.,Please remember to log out of your account before leaving the office.
789,Look forward to,We look forward to meeting with the new clients next week.,We look forward to meeting with the new clients next week.
790,Look to,The company will look to expand its market share in the coming year.,The company will look to expand its market share in the coming year.
791,Loyal,Our loyal customers are the backbone of our business.,Our loyal customers are the backbone of our business.
792,Luggage,The business traveler packed his luggage carefully for the week-long conference.,The business traveler packed his luggage carefully for the week-long conference.
793,lukewarm,The new product received a ukewarm response from the focus group.,The new product received a ukewarm response from the focus group. (Ajout de 'lukewarm')
794,Luxurious,The brand is known for its luxurious products that cater to high-end clients.,The brand is known for its luxurious products that cater to high-end clients.
795,Luxury,Providing luxury services has always been at the heart of our business strategy.,Providing luxury services has always been at the heart of our business strategy.
796,Maintain,It’s essential to maintain strong relationships with our suppliers.,It’s essential to maintain strong relationships with our suppliers.
797,Maintenance,Regular maintenance of the company’s equipment is crucial to avoid downtime.,Regular maintenance of the company’s equipment is crucial to avoid downtime.
798,Major,The new policy change is a major shift in how we do business.,The new policy change is a major shift in how we do business.
799,making up,The marketing team is making up for the lost time by launching new campaigns.,The marketing team is making up for the lost time by launching new campaigns.
800,Manage,She has been promoted to manage the company’s international operations.,She has been promoted to manage the company’s international operations.
801,Managerial,He is attending a managerial training program to enhance his leadership skills.,He is attending a managerial training program to enhance his leadership skills.
802,Mandatory,Attending the annual meeting is mandatory for all department heads.,Attending the annual meeting is mandatory for all department heads.
803,Manufacture,"The factory has the capacity to manufacture over 10,000 units per month.","The factory has the capacity to manufacture over 10,000 units per month."
804,Manufacturing,The company is investing in advanced manufacturing technologies to boost productivity.,The company is investing in advanced manufacturing technologies to boost productivity.
805,Mark up,The retailer applied a 20% mark up to the cost of the product.,The retailer applied a 20% mark up to the cost of the product.
806,Market,Understanding the market is key to developing a successful business strategy.,Understanding the market is key to developing a successful business strategy.
807,Market research,Market research indicates that there is a growing demand for eco-friendly products.,Market research indicates that there is a growing demand for eco-friendly products.
808,Marketing,Effective marketing is crucial to the success of any product launch.,Effective marketing is crucial to the success of any product launch.
809,Matter,Quality customer service is a matter of priority for our business.,Quality customer service is a matter of priority for our business.
810,mean,The new tax law could mean higher costs for small businesses.,The new tax law could mean higher costs for small businesses.
811,Mechanic,The company employs a full-time mechanic to maintain its fleet of vehicles.,The company employs a full-time mechanic to maintain its fleet of vehicles.
812,Medic,A trained medic is always present on-site to ensure workplace safety.,A trained medic is always present on-site to ensure workplace safety.
813,Medical,The company offers comprehensive medical benefits to all employees.,The company offers comprehensive medical benefits to all employees.
814,Medication,Employees are advised to inform HR if they are on any long-term medication.,Employees are advised to inform HR if they are on any long-term medication.
815,Medicine,The pharmaceutical division is launching a new line of medicine next year.,The pharmaceutical division is launching a new line of medicine next year.
816,Meeting,The board meeting has been scheduled for 10 a.m. on Thursday.,The board meeting has been scheduled for 10 a.m. on Thursday.
817,Membership,The executive team has approved the company’s membership in the local business chamber.,The executive team has approved the company’s membership in the local business chamber.
818,Memo,A memo was sent out to all staff outlining the new office procedures.,A memo was sent out to all staff outlining the new office procedures.
819,Memorandum,The memorandum of understanding between the two companies was signed yesterday.,The memorandum of understanding between the two companies was signed yesterday.
820,Mention,Please make sure to mention our latest products during your sales pitch.,Please make sure to mention our latest products during your sales pitch.
821,Merchandise,The company’s new line of merchandise will be available online next month.,The company’s new line of merchandise will be available online next month.
822,Mere,The mere presence of a strong leader can inspire confidence in the team.,The mere presence of a strong leader can inspire confidence in the team.
823,Merge,The two companies plan to merge their operations to streamline services.,The two companies plan to merge their operations to streamline services.
824,Merger,The merger between the two tech giants was finalized last quarter.,The merger between the two tech giants was finalized last quarter.
825,Merger,Employees can claim mileage reimbursement for business-related travel.,Employees can claim mileage reimbursement for business-related travel. (Ajout de 'Merger')
826,Mileage,The company hit its target of earning a million dollars in revenue this quarter.,The company hit its target of earning a million dollars in revenue this quarter. (Ajout de 'Mileage')
827,Million,"The client seemed to mishear the details of our proposal, so we clarified the terms.","The client seemed to mishear the details of our proposal, so we clarified the terms. (Ajout de 'Million')"
828,Mishear,The advertisement was found to be misleading and had to be retracted.,The advertisement was found to be misleading and had to be retracted. (Ajout de 'Mishear')
829,Misleading,It’s important never to misrepresent the features of a product to customers.,It’s important never to misrepresent the features of a product to customers. (Ajout de 'Misleading')
830,Misrepresent,"The salesperson did not intend to misrepresent the product, but the customer felt deceived by the description.","The salesperson did not intend to misrepresent the product, but the customer felt deceived by the description."
831,Mix-up,A mix-up in the shipping department caused the wrong items to be delivered to the customer.,A mix-up in the shipping department caused the wrong items to be delivered to the customer.
832,Monitor,The security team will monitor the premises 24/7 to ensure safety.,The security team will monitor the premises 24/7 to ensure safety.
833,monitoring,Continuous monitoring of the stock market is essential for successful trading.,Continuous monitoring of the stock market is essential for successful trading.
834,Monument,The city unveiled a new monument to honor the fallen heroes of the war.,The city unveiled a new monument to honor the fallen heroes of the war.
835,Mortgage,They decided to take out a mortgage to buy their dream home.,They decided to take out a mortgage to buy their dream home.
836,Motivate,The coach used various strategies to motivate the team before the big game.,The coach used various strategies to motivate the team before the big game.
837,Motivation,Employee motivation is key to improving productivity in the workplace.,Employee motivation is key to improving productivity in the workplace.
838,Napkin,He carefully placed a napkin on his lap before beginning his meal.,He carefully placed a napkin on his lap before beginning his meal.
839,Narrow,The narrow road made it difficult for two cars to pass each other.,The narrow road made it difficult for two cars to pass each other.
840,Narrowing,The narrowing of the gap between the two competitors made the race more exciting.,The narrowing of the gap between the two competitors made the race more exciting.
841,Neighborhood,The neighborhood is known for its friendly residents and tree-lined streets.,The neighborhood is known for its friendly residents and tree-lined streets.
842,Network, Building a strong network of professional contacts is crucial for career advancement., Building a strong network of professional contacts is crucial for career advancement.
843,Nominate,The board will nominate three candidates for the position of CEO.,The board will nominate three candidates for the position of CEO.
844,Nomination,Her nomination for the award was announced at the annual gala.,Her nomination for the award was announced at the annual gala.
845,Notice,The employee submitted a notice of resignation to the HR department.,The employee submitted a notice of resignation to the HR department.
846,Notify,Please notify us immediately if there are any changes to your itinerary.,Please notify us immediately if there are any changes to your itinerary.
847,Objection,"The lawyer raised an objection during the trial, arguing that the evidence was inadmissible.","The lawyer raised an objection during the trial, arguing that the evidence was inadmissible."
848,Objective,The main objective of the project is to reduce costs by 20%.,The main objective of the project is to reduce costs by 20%.
849,Obligation,It is our obligation to provide accurate information to our clients.,It is our obligation to provide accurate information to our clients.
850,obligation ,It is our obligation to provide accurate information to our clients.,It is our obligation to provide accurate information to our clients.
851,Oblige,The manager felt obliged to extend the deadline due to the unforeseen circumstances.,The manager felt obliged to extend the deadline due to the unforeseen circumstances. (Ajout de 'Oblige')
852,Obtain,She worked hard to obtain her master’s degree in business administration.,She worked hard to obtain her master’s degree in business administration.
853,obtain ,You need to obtain a permit before starting the construction.,You need to obtain a permit before starting the construction.
854,Obviously,"Obviously, we need to review the contract before signing it.","Obviously, we need to review the contract before signing it."
855,Occupation,His occupation as an architect requires a great deal of creativity and precision.,His occupation as an architect requires a great deal of creativity and precision.
856,Occur,The error occurred because of a misunderstanding between the departments.,The error occurred because of a misunderstanding between the departments. (Ajout de 'Occur')
857,Offer,The company decided to offer a discount to attract new customers.,The company decided to offer a discount to attract new customers.
858,Officer,The compliance officer ensures that all regulatory requirements are met.,The compliance officer ensures that all regulatory requirements are met.
859,Official,The official report will be released to the public tomorrow.,The official report will be released to the public tomorrow.
860,Offset,The company planted trees to offset its carbon emissions.,The company planted trees to offset its carbon emissions.
861,Onward," From this day onward, all employees must clock in using the new system."," From this day onward, all employees must clock in using the new system."
862,Operate,The machine can operate at full capacity for eight hours without overheating.,The machine can operate at full capacity for eight hours without overheating.
863,Operation,"The operation was a success, and production increased by 15%.","The operation was a success, and production increased by 15%."
864,Opinion,"In my opinion, the new policy will benefit the company in the long run.","In my opinion, the new policy will benefit the company in the long run."
865,Opportunity,nan,nan (Ajout de 'Opportunity')
866,Optimistic,The team is optimistic about meeting their sales targets this quarter.,The team is optimistic about meeting their sales targets this quarter.
867,Order,Please place your order before the end of the day to ensure next-day delivery.,Please place your order before the end of the day to ensure next-day delivery.
868,Organization,The organization is known for its charitable work and community service.,The organization is known for its charitable work and community service.
869,Organize,We need to organize a meeting to discuss the upcoming project.,We need to organize a meeting to discuss the upcoming project.
870,Organized,"The event was well-organized, with everything running smoothly.","The event was well-organized, with everything running smoothly."
871,Original,The original manuscript was found in the library archives.,The original manuscript was found in the library archives.
872,Outlet,The company opened a new outlet in the downtown shopping district.,The company opened a new outlet in the downtown shopping district.
873,Outline,The presentation should include an outline of the project’s objectives and timeline.,The presentation should include an outline of the project’s objectives and timeline.
874,Outlook,The economic outlook for the next quarter is positive.,The economic outlook for the next quarter is positive.
875,Outsource ,The company decided to outsource its customer service operations to reduce costs.,The company decided to outsource its customer service operations to reduce costs.
876,Outstanding,The accountant found several outstanding invoices that needed to be paid.,The accountant found several outstanding invoices that needed to be paid.
877,Overall,"Overall, the project was a success, despite a few minor setbacks.","Overall, the project was a success, despite a few minor setbacks."
878,Overcrowded,"The subway was overcrowded during rush hour, making it difficult to board.","The subway was overcrowded during rush hour, making it difficult to board."
879,Overdraft,He was charged an overdraft fee for withdrawing more money than he had in his account.,He was charged an overdraft fee for withdrawing more money than he had in his account.
880,overdrew,She accidentally overdrew her account by making an unexpected purchase.,She accidentally overdrew her account by making an unexpected purchase.
881,overflowed,"The river overflowed its banks after the heavy rainfall, causing widespread flooding.","The river overflowed its banks after the heavy rainfall, causing widespread flooding."
882,overran,The project overran its budget due to unexpected costs.,The project overran its budget due to unexpected costs.
883,Overseas,The company is expanding its operations to several overseas markets.,The company is expanding its operations to several overseas markets.
884,Overtime,The employees worked overtime to complete the project by the deadline.,The employees worked overtime to complete the project by the deadline.
885,overtook,The new product quickly overtook the competition in market share.,The new product quickly overtook the competition in market share.
886,Overview,The report provides an overview of the company's performance over the last year.,The report provides an overview of the company's performance over the last year.
887,Owepackage,You still owe a package of deliverables to the client.,You still owe a package of deliverables to the client. (Ajout de 'Owepackage')
888,Package,The package was delivered to your office this morning.,The package was delivered to your office this morning.
889,Package tour,"The package tour included flights, accommodation, and guided excursions.","The package tour included flights, accommodation, and guided excursions."
890,Parcel,The parcel arrived a day earlier than expected.,The parcel arrived a day earlier than expected.
891,Parking lot,"The parking lot was full, so we had to park on the street.","The parking lot was full, so we had to park on the street."
892,Participant,Each participant in the workshop received a certificate of completion.,Each participant in the workshop received a certificate of completion.
893,Particularly,She was particularly interested in the seminar on digital marketing.,She was particularly interested in the seminar on digital marketing.
894,particulars,Please provide the particulars of the agreement in writing.,Please provide the particulars of the agreement in writing.
895,Party,The company hosted a party to celebrate its 50th anniversary.,The company hosted a party to celebrate its 50th anniversary.
896,Passenger,Each passenger must present a valid ticket before boarding the train.,Each passenger must present a valid ticket before boarding the train.
897,Patent,The inventor filed for a patent to protect his new design.,The inventor filed for a patent to protect his new design.
898,Patented,"The product was patented, preventing competitors from copying the design.","The product was patented, preventing competitors from copying the design."
899,Patience,Patience is key when dealing with difficult customers.,Patience is key when dealing with difficult customers.
900,Pay off,Hard work and dedication will eventually pay off.,Hard work and dedication will eventually pay off.
901,Payment,Please make the payment by the due date to avoid late fees.,Please make the payment by the due date to avoid late fees.
902,peculiarities,The peculiarities of the local market must be considered in our strategy.,The peculiarities of the local market must be considered in our strategy.
903,peg,The exchange rate was pegged to the dollar to stabilize the economy.,The exchange rate was pegged to the dollar to stabilize the economy. (Ajout de 'peg')
904,Perform,The musician will perform at the concert hall tonight.,The musician will perform at the concert hall tonight.
905,perform ,He was asked to perform several tasks outside his usual responsibilities.,He was asked to perform several tasks outside his usual responsibilities.
906,Performance,The company’s financial performance exceeded expectations this quarter.,The company’s financial performance exceeded expectations this quarter.
907,Permanent,She was offered a permanent position after completing her probationary period.,She was offered a permanent position after completing her probationary period.
908,Permission,You must obtain permission from the manager before taking time off.,You must obtain permission from the manager before taking time off.
909,Permit,The city issued a permit for the construction of the new building.,The city issued a permit for the construction of the new building.
910,Personal,She keeps her personal and professional life separate.,She keeps her personal and professional life separate.
911,Personalized,The company offers personalized service to each of its clients.,The company offers personalized service to each of its clients.
912,Personnel,The personnel department is responsible for hiring and training new employees.,The personnel department is responsible for hiring and training new employees.
913,Persuade,He managed to persuade the board to approve the new project.,He managed to persuade the board to approve the new project.
914,Pessimistic,The economist was pessimistic about the prospects for economic recovery.,The economist was pessimistic about the prospects for economic recovery.
915,Phase out,The company plans to phase out its older products to make room for new ones.,The company plans to phase out its older products to make room for new ones.
916,pick on,It's not fair to pick on someone just because they're different.,It's not fair to pick on someone just because they're different.
917,pick out,She helped her friend pick out a dress for the party.,She helped her friend pick out a dress for the party.
918,Pick up,Can you pick up the package from the post office on your way home?,Can you pick up the package from the post office on your way home?
919,Pick up the check,He generously offered to pick up the check at the restaurant.,He generously offered to pick up the check at the restaurant.
920,pick with,He always seems to pick with people who disagree with him.,He always seems to pick with people who disagree with him.
921,Plant,The company is opening a new manufacturing plant in the region.,The company is opening a new manufacturing plant in the region.
922,Platform,The new software platform will improve efficiency across the organization.,The new software platform will improve efficiency across the organization.
923,Pleasant, It was a pleasant surprise to see an old friend at the conference., It was a pleasant surprise to see an old friend at the conference.
924,Plow,The farmer used a tractor to plow the fields before planting crops.,The farmer used a tractor to plow the fields before planting crops.
925,Plug in, Make sure to plug in the device before turning it on., Make sure to plug in the device before turning it on.
926,Plumber, We had to call a plumber to fix the leaking pipe in the kitchen., We had to call a plumber to fix the leaking pipe in the kitchen.
927,Point,The speaker made an important point about the need for sustainable practices.,The speaker made an important point about the need for sustainable practices.
928,Pointless,Arguing with him is pointless because he never changes his mind.,Arguing with him is pointless because he never changes his mind.
929,Policy,The company’s new policy requires employees to wear ID badges at all times.,The company’s new policy requires employees to wear ID badges at all times.
930,Polite,"It’s important to be polite when dealing with customers, even in difficult situations.","It’s important to be polite when dealing with customers, even in difficult situations."
931,political,The political climate in the country is affecting business operations.,The political climate in the country is affecting business operations.
932,politically,The decision was made to avoid any politically sensitive issues.,The decision was made to avoid any politically sensitive issues.
933,Politician,The politician gave a speech on the importance of education reform.,The politician gave a speech on the importance of education reform.
934,politician, The politician was criticized for not keeping his campaign promises., The politician was criticized for not keeping his campaign promises.
935,Politics,Office politics can sometimes be as challenging as,Office politics can sometimes be as challenging as
936,Poll,The latest poll shows that the candidate is leading by a narrow margin.,The latest poll shows that the candidate is leading by a narrow margin.
937,Pollute,Factories that pollute the environment are subject to heavy fines.,Factories that pollute the environment are subject to heavy fines.
938,Popular,The new smartphone model is very popular among consumers.,The new smartphone model is very popular among consumers.
939,Popularity,The popularity of the product soared after the ad campaign.,The popularity of the product soared after the ad campaign.
940,Position,She was promoted to the position of marketing manager.,She was promoted to the position of marketing manager.
941,Postpone,The meeting was postponed until next week due to scheduling conflicts.,The meeting was postponed until next week due to scheduling conflicts. (Ajout de 'Postpone')
942,Postpone ,The postponement of the event disappointed many attendees.,The postponement of the event disappointed many attendees. (Ajout de 'Postpone ')
943,Postponement,The new market has great potential for growth.,The new market has great potential for growth. (Ajout de 'Postponement')
944,Potential,The power outage caused significant disruption to the manufacturing process.,The power outage caused significant disruption to the manufacturing process. (Ajout de 'Potential')
945,Power,The course offers practical advice for starting a small business.,The course offers practical advice for starting a small business. (Ajout de 'Power')
946,Practical,The solution was practically perfect for the problem at hand.,The solution was practically perfect for the problem at hand. (Ajout de 'Practical')
947,Practically,Analysts predict that the company’s profits will increase next year.,Analysts predict that the company’s profits will increase next year. (Ajout de 'Practically')
948,Predict,The outcome of the negotiation was predictable given the circumstances.,The outcome of the negotiation was predictable given the circumstances. (Ajout de 'Predict')
949,Predictable,I prefer to work in a quiet environment where I can concentrate.,I prefer to work in a quiet environment where I can concentrate. (Ajout de 'Predictable')
950,Prefer,Most customers prefer the new model over the old one.,Most customers prefer the new model over the old one.
951,prefer,"The position requires a degree in engineering, preferably with some experience.","The position requires a degree in engineering, preferably with some experience. (Ajout de 'prefer')"
952,preferably,She has a preference for working with international clients.,She has a preference for working with international clients. (Ajout de 'preferably')
953,Preference,The company’s preference is to hire candidates with relevant experience.,The company’s preference is to hire candidates with relevant experience.
954,preference,He is the preferred candidate for the job due to his extensive experience.,He is the preferred candidate for the job due to his extensive experience. (Ajout de 'preference')
955,preferred,Smoking is not allowed on the company premises.,Smoking is not allowed on the company premises. (Ajout de 'preferred')
956,Premises,It’s important to prepare thoroughly before the client meeting.,It’s important to prepare thoroughly before the client meeting. (Ajout de 'Premises')
957,Prepare,The CEO will present the annual report to the board of directors.,The CEO will present the annual report to the board of directors. (Ajout de 'Prepare')
958,Present,The presentation was well-received by the audience.,The presentation was well-received by the audience. (Ajout de 'Present')
959,Presentation,The press conference will be held at the main office tomorrow.,The press conference will be held at the main office tomorrow. (Ajout de 'Presentation')
960,Press,The new policy is designed to prevent fraud in the financial system.,The new policy is designed to prevent fraud in the financial system. (Ajout de 'Press')
961,Prevent,Prevention of data breaches is a top priority for the IT department.,Prevention of data breaches is a top priority for the IT department. (Ajout de 'Prevent')
962,Prevention,The price of the product was reduced to attract more customers.,The price of the product was reduced to attract more customers. (Ajout de 'Prevention')
963,Price,The painting was considered priceless due to its historical significance.,The painting was considered priceless due to its historical significance. (Ajout de 'Price')
964,Priceless,The experience of working with a mentor was priceless for her career.,The experience of working with a mentor was priceless for her career.
965,priceless,The company’s efforts are primarily focused on expanding into new markets.,The company’s efforts are primarily focused on expanding into new markets. (Ajout de 'priceless')
966,Primarily,The issue is primarily a matter of resource allocation.,The issue is primarily a matter of resource allocation.
967,primarily (adverb),The principal reason for the delay was a shortage of materials.,The principal reason for the delay was a shortage of materials. (Ajout de 'primarily (adverb)')
968,Principal,The company operates on the principle of honesty and integrity.,The company operates on the principle of honesty and integrity. (Ajout de 'Principal')
969,Principle,Ensuring customer satisfaction is our top priority.,Ensuring customer satisfaction is our top priority. (Ajout de 'Principle')
970,Priority,The project was given priority due to its importance to the company.,The project was given priority due to its importance to the company.
971,Priority,The meeting was held in private to discuss sensitive matters.,The meeting was held in private to discuss sensitive matters. (Ajout de 'Priority')
972,Private,The probability of success depends on several factors.,The probability of success depends on several factors. (Ajout de 'Private')
973,Probability,He will probably attend the conference if his schedule allows.,He will probably attend the conference if his schedule allows. (Ajout de 'Probability')
974,Probably,New employees must complete a probationary period before becoming permanent.,New employees must complete a probationary period before becoming permanent. (Ajout de 'Probably')
975,Probationary,"After receiving approval, the team will proceed with the project.","After receiving approval, the team will proceed with the project. (Ajout de 'Probationary')"
976,Proceed ,"The hiring process involves several stages, including interviews and background checks.","The hiring process involves several stages, including interviews and background checks. (Ajout de 'Proceed ')"
977,Process,The team had a productive meeting where several ideas were generated.,The team had a productive meeting where several ideas were generated. (Ajout de 'Process')
978,Productive,"She had a very productive day, completing all her tasks ahead of schedule.","She had a very productive day, completing all her tasks ahead of schedule."
979,productive (adjective),She chose medicine as her profession because of her passion for helping others.,She chose medicine as her profession because of her passion for helping others. (Ajout de 'productive (adjective)')
980,Profession,It’s important to maintain a professional attitude in the workplace.,It’s important to maintain a professional attitude in the workplace. (Ajout de 'Profession')
981,Professional,The company’s profile has risen since it was featured in a major business magazine.,The company’s profile has risen since it was featured in a major business magazine. (Ajout de 'Professional')
982,Profile,The company’s profit increased by 15% compared to last year.,The company’s profit increased by 15% compared to last year. (Ajout de 'Profile')
983,Profit,The profitability of the new product line is higher than expected.,The profitability of the new product line is higher than expected. (Ajout de 'Profit')
984,Profitability,The investment proved to be highly profitable within just a few months.,The investment proved to be highly profitable within just a few months. (Ajout de 'Profitability')
985,Profitable,The team made significant progress on the project this week.,The team made significant progress on the project this week. (Ajout de 'Profitable')
986,Progress,The progress of the construction project is being closely monitored.,The progress of the construction project is being closely monitored.
987,Progress,The company takes a progressive approach to employee development.,The company takes a progressive approach to employee development. (Ajout de 'Progress')
988,Progressive,The new law will prohibit smoking in all public places.,The new law will prohibit smoking in all public places. (Ajout de 'Progressive')
989,Prohibit,The company is planning a new project that will expand its market share.,The company is planning a new project that will expand its market share. (Ajout de 'Prohibit')
990,Project,The use of smartphones has proliferated rapidly in recent years.,The use of smartphones has proliferated rapidly in recent years. (Ajout de 'Project')
991,proliferated,He made a promise to deliver the project on time and within budget.,He made a promise to deliver the project on time and within budget. (Ajout de 'proliferated')
992,Promise,The company plans to promote its new product through an extensive advertising campaign.,The company plans to promote its new product through an extensive advertising campaign. (Ajout de 'Promise')
993,Promote,She was promoted to senior manager after just two years with the company.,She was promoted to senior manager after just two years with the company. (Ajout de 'Promote')
994,promoted,The promotion included a pay raise and additional responsibilities.,The promotion included a pay raise and additional responsibilities. (Ajout de 'promoted')
995,Promotion,The manager’s prompt response to the issue helped prevent further delays.,The manager’s prompt response to the issue helped prevent further delays. (Ajout de 'Promotion')
996,Prompt,The prompt delivery of the goods ensured customer satisfaction.,The prompt delivery of the goods ensured customer satisfaction.
997,Promptly,The issue was promptly addressed by the technical support team.,The issue was promptly addressed by the technical support team.
998,Properly,It’s important to follow the instructions properly to avoid any issues.,It’s important to follow the instructions properly to avoid any issues.
999,Property,The company owns a large property in the industrial area.,The company owns a large property in the industrial area.
1000,Prospect(s),The prospects for growth in this market are very promising.,The prospects for growth in this market are very promising. (Ajout de 'Prospect(s)')
1001,prospered,The business prospered after implementing the new marketing strategy.,The business prospered after implementing the new marketing strategy.
1002,Protect,It is crucial to protect sensitive information from unauthorized access.,It is crucial to protect sensitive information from unauthorized access.
1003,Protection,The protection of intellectual property is vital for innovation.,The protection of intellectual property is vital for innovation.
1004,Publicity,The new product launch received a lot of publicity in the media.,The new product launch received a lot of publicity in the media.
1005,Publicize,The company plans to publicize its new initiative through social media.,The company plans to publicize its new initiative through social media.
1006,Pull out, The investor decided to pull out of the project due to unforeseen risks., The investor decided to pull out of the project due to unforeseen risks.
1007,Purchase, She made a large purchase at the electronics store., She made a large purchase at the electronics store.
1008,Purchase,The company decided to purchase new equipment to increase production.,The company decided to purchase new equipment to increase production.
1009,Purpose,The main purpose of the meeting is to discuss the upcoming project.,The main purpose of the meeting is to discuss the upcoming project.
1010,Pursue,He decided to pursue a career in finance after completing his degree.,He decided to pursue a career in finance after completing his degree.
1011,put off,They had to put off the meeting until next week due to scheduling conflicts.,They had to put off the meeting until next week due to scheduling conflicts.
1012,Put together,The team worked hard to put together a comprehensive proposal.,The team worked hard to put together a comprehensive proposal.
1013,Put up,The company decided to put up a new billboard to advertise its services.,The company decided to put up a new billboard to advertise its services.
1014,put up,"They put up with a lot of challenges during the project, but the results were worth it.","They put up with a lot of challenges during the project, but the results were worth it."
1015,Qualification,His qualification in engineering makes him a strong candidate for the position.,His qualification in engineering makes him a strong candidate for the position.
1016,Qualifications,"The job requires specific qualifications, including a degree in accounting.","The job requires specific qualifications, including a degree in accounting."
1017,Qualify,She needs to qualify for the loan before she can purchase the house.,She needs to qualify for the loan before she can purchase the house.
1018,Qualify,The candidate did not qualify for the position due to a lack of experience.,The candidate did not qualify for the position due to a lack of experience.
1019,Quotation,The client requested a quotation for the renovation project.,The client requested a quotation for the renovation project.
1020,Quote,The sales team provided a quote for the cost of the new software.,The sales team provided a quote for the cost of the new software.
1021,Raise,The company decided to raise the salaries of its employees this year.,The company decided to raise the salaries of its employees this year.
1022,Raise money,The charity event was organized to raise money for local schools.,The charity event was organized to raise money for local schools.
1023,Range,The store offers a wide range of products to choose from.,The store offers a wide range of products to choose from.
1024,Range, The price range for these services varies depending on the client’s needs., The price range for these services varies depending on the client’s needs.
1025,Rare,It is rare to find such a unique piece of art in this gallery.,It is rare to find such a unique piece of art in this gallery.
1026,Rate,The interest rate on the loan was higher than expected.,The interest rate on the loan was higher than expected.
1027,Rational,The decision to expand was based on a rational analysis of the market.,The decision to expand was based on a rational analysis of the market.
1028,Raw materials,The factory imports raw materials from overseas to produce its goods.,The factory imports raw materials from overseas to produce its goods.
1029,Reach,The marketing campaign aims to reach a broader audience.,The marketing campaign aims to reach a broader audience.
1030,Realize,She didn’t realize the impact of her decision until much later.,She didn’t realize the impact of her decision until much later.
1031,realize ,He began to realize the importance of time management as deadlines approached.,He began to realize the importance of time management as deadlines approached.
1032,Rearrange, They decided to rearrange the office layout to improve workflow., They decided to rearrange the office layout to improve workflow.
1033,Reasonable,The company offered a reasonable price for the high-quality product.,The company offered a reasonable price for the high-quality product.
1034,Reasonably ,The project was completed reasonably within the allocated budget.,The project was completed reasonably within the allocated budget.
1035,Receipt,Please keep the receipt as proof of purchase.,Please keep the receipt as proof of purchase.
