Numero,Mot,example sentence (facile),Corrected Sentence,Indicateur
724,Invention,The smartphone is one of the most significant inventions of the 21st century.,The smartphone is one of the most significant inventions of the 21st century.,Modifié
725,Inventory,We need to conduct a thorough inventory of all office supplies.,We need to conduct a thorough inventory of all office supplies.,Non modifié
726,Invest,The company plans to invest in new technologies to stay competitive.,The company plans to invest in new technologies to stay competitive.,Non modifié
727,Investigate,The team will investigate the cause of the equipment failure.,The team will investigate the cause of the equipment failure.,Non modifié
728,Investigation,An internal investigation is underway to address the security breach.,An internal investigation is underway to address the security breach.,Non modifié
729,Investment,Real estate has proven to be a solid investment over the years.,Real estate has proven to be a solid investment over the years.,Non modifié
730,Invite,We would like to invite you to our annual company event.,We would like to invite you to our annual company event.,Non modifié
731,Invoice,Please send the invoice for the completed services by the end of the week.,Please send the invoice for the completed services by the end of the week.,Non modifié
732,involve,The project will involve collaboration between multiple departments.,The project will involve collaboration between multiple departments.,Non modifié
733,Irrelevant,Please remove any irrelevant information from the report.,Please remove any irrelevant information from the report.,Non modifié
734,Isolate,We need to isolate the problem to determine its cause,We need to isolate the problem to determine its cause,Non modifié
735,Issue,We need to address the issue of delayed deliveries,We need to address the issue of delayed deliveries,Non modifié
736,Item,Each item on the list must be checked for accuracy.,Each item on the list must be checked for accuracy.,Non modifié
737,Itemize,Please itemize all expenses in your expense report.,Please itemize all expenses in your expense report.,Non modifié
738,Itinerary,Here is the itinerary for the upcoming business trip.,Here is the itinerary for the upcoming business trip.,Non modifié
739,Jealous,He felt jealous of his colleague’s recent promotion.,He felt jealous of his colleague’s recent promotion.,Non modifié
740,Jeopardize,Failing to meet the deadline could jeopardize the project’s success.,Failing to meet the deadline could jeopardize the project’s success.,Non modifié
741,Jeopardy,The company's future is in jeopardy if the issues are not resolved.,The company's future is in jeopardy if the issues are not resolved.,Non modifié
742,Jobless,Many jobless individuals are seeking new opportunities in the current job market,Many jobless individuals are seeking new opportunities in the current job market,Non modifié
743,Join,Would you like to join us for the team-building event?,Would you like to join us for the team-building event?,Non modifié
744,Joint,The joint venture between the two companies aims to develop new technologies.,The joint venture between the two companies aims to develop new technologies.,Non modifié
745,Journal,She keeps a journal to track her daily progress and reflections.,She keeps a journal to track her daily progress and reflections.,Non modifié
746,Journey,The journey to establish the new branch was challenging but rewarding,The journey to establish the new branch was challenging but rewarding,Non modifié
747,Judge,The judge will announce the verdict at the end of the trial.,The judge will announce the verdict at the end of the trial.,Non modifié
748,Justice,The organization is committed to promoting social justice.,The organization is committed to promoting social justice.,Non modifié
749,Justification,He provided a detailed justification for the budget increase,He provided a detailed justification for the budget increase,Non modifié
750,Justify,You need to justify the additional expenses in your report.,You need to justify the additional expenses in your report.,Non modifié
751,Keen,She is keen to learn more about the new project.,She is keen to learn more about the new project.,Non modifié
752,Keep,Please keep all confidential documents in a secure location.,Please keep all confidential documents in a secure location.,Non modifié
753,keep,We need to keep track of all project milestones.,We need to keep track of all project milestones.,Non modifié
754,Knock,Please knock before entering the office.,Please knock before entering the office.,Non modifié
755,Know,I need to know the deadline for the project,I need to know the deadline for the project,Non modifié
756,Knowledge,Her extensive knowledge of the industry is a great asset to the team.,Her extensive knowledge of the industry is a great asset to the team.,Non modifié
757,Knowledgeable,He is very knowledgeable about the latest technology trends.,He is very knowledgeable about the latest technology trends.,Non modifié
758,Label,Make sure to label all files clearly for easy identification.,Make sure to label all files clearly for easy identification.,Non modifié
759,Labor,The project required significant labor to complete on time,The project required significant labor to complete on time,Non modifié
760,Lack,The team faced challenges due to a lack of resources.,The team faced challenges due to a lack of resources.,Non modifié
761,Landlord,The landlord agreed to fix the heating system promptly.,The landlord agreed to fix the heating system promptly.,Non modifié
762,Laptop,She uses her laptop for most of her work tasks,She uses her laptop for most of her work tasks,Non modifié
763,Launch,The company will launch the new product next month.,The company will launch the new product next month.,Non modifié
764,Law,The new regulations are based on recent changes in the law.,The new regulations are based on recent changes in the law.,Non modifié
765,Lay off,The company had to lay off several employees due to budget cuts,The company had to lay off several employees due to budget cuts,Non modifié
766,Leak,There was a leak in the system that compromised the data.,There was a leak in the system that compromised the data.,Non modifié
767,Lean,The company needs to lean on its strengths to stay competitive.,The company needs to lean on its strengths to stay competitive.,Non modifié
768,Lease,We decided to lease the office space for five years.,We decided to lease the office space for five years.,Non modifié
769,Leisure,He enjoys leisure activities like reading and hiking on weekends.,He enjoys leisure activities like reading and hiking on weekends.,Non modifié
770,Lend,Could you lend me your notes for the meeting?,Could you lend me your notes for the meeting?,Non modifié
771,Lengthy,"The review process was lengthy, but it was thorough.","The review process was lengthy, but it was thorough.",Non modifié
772,Level off,Sales figures are expected to level off after the initial surge.,Sales figures are expected to level off after the initial surge.,Non modifié
773,Liability,The company has a liability to ensure safe working conditions.,The company has a liability to ensure safe working conditions.,Non modifié
774,License,Ensure you have a valid license before operating the equipment.,Ensure you have a valid license before operating the equipment.,Non modifié
775,Licensing,The licensing process for the new software is straightforward.,The licensing process for the new software is straightforward.,Non modifié
776,Lie,Don’t lie about your qualifications on the resume.,Don’t lie about your qualifications on the resume.,Non modifié
777,Limited,The offer is available for a limited time only.,The offer is available for a limited time only.,Non modifié
778,Limousine,The client arrived at the event in a luxury limousine.,The client arrived at the event in a luxury limousine.,Non modifié
779,Line,Please stand in line to check in for your flight.,Please stand in line to check in for your flight.,Non modifié
780,List,I’ve created a list of items to purchase for the office.,I’ve created a list of items to purchase for the office.,Non modifié
781,Livestock,"The farm's livestock includes cattle, sheep, and chickens.","The farm's livestock includes cattle, sheep, and chickens.",Non modifié
782,Loan,They applied for a loan to finance the new business venture.,The concept of Loan is widely used in various contexts.,Non modifié
783,Lobby,The company’s new headquarters has a spacious lobby that impresses all visitors.,The company’s new headquarters has a spacious lobby that impresses all visitors.,Non modifié
784,Local,We prefer to support local businesses whenever possible.,We prefer to support local businesses whenever possible.,Non modifié
785,Locate,The HR department is trying to locate the missing employee files.,The HR department is trying to locate the missing employee files.,Non modifié
786,Location,The retail store's prime location in the city center attracts a lot of foot traffic.,The retail store's prime location in the city center attracts a lot of foot traffic.,Non modifié
787,Log on,Employees need to log on to the company’s intranet daily to check for updates.,Employees need to log on to the company’s intranet daily to check for updates.,Non modifié
788,Log out,Please remember to log out of your account before leaving the office.,Please remember to log out of your account before leaving the office.,Non modifié
789,Look forward to,We look forward to meeting with the new clients next week.,We look forward to meeting with the new clients next week.,Non modifié
790,Look to,The company will look to expand its market share in the coming year.,The company will look to expand its market share in the coming year.,Non modifié
791,Loyal,Our loyal customers are the backbone of our business.,Our loyal customers are the backbone of our business.,Non modifié
792,Luggage,The business traveler packed his luggage carefully for the week-long conference.,The business traveler packed his luggage carefully for the week-long conference.,Non modifié
793,lukewarm,The new product received a ukewarm response from the focus group.,Lukewarm is important because the new product received a ukewarm response from the focus group.,Modifié
794,Luxurious,The brand is known for its luxurious products that cater to high-end clients.,The brand is known for its luxurious products that cater to high-end clients.,Non modifié
795,Luxury,Providing luxury services has always been at the heart of our business strategy.,Providing luxury services has always been at the heart of our business strategy.,Non modifié
796,Maintain,It’s essential to maintain strong relationships with our suppliers.,It’s essential to maintain strong relationships with our suppliers.,Non modifié
797,Maintenance,Regular maintenance of the company’s equipment is crucial to avoid downtime.,The concept of Maintenance is widely used in various contexts.,Non modifié
798,Major,The new policy change is a major shift in how we do business.,The new policy change is a major shift in how we do business.,Non modifié
799,making up,The marketing team is making up for the lost time by launching new campaigns.,The marketing team is making up for the lost time by launching new campaigns.,Non modifié
800,Manage,She has been promoted to manage the company’s international operations.,She has been promoted to manage the company’s international operations.,Non modifié
801,Managerial,He is attending a managerial training program to enhance his leadership skills.,He is attending a managerial training program to enhance his leadership skills.,Non modifié
802,Mandatory,Attending the annual meeting is mandatory for all department heads.,Attending the annual meeting is mandatory for all department heads.,Non modifié
803,Manufacture,"The factory has the capacity to manufacture over 10,000 units per month.","The factory has the capacity to manufacture over 10,000 units per month.",Non modifié
804,Manufacturing,The company is investing in advanced manufacturing technologies to boost productivity.,The company is investing in advanced manufacturing technologies to boost productivity.,Non modifié
805,Mark up,The retailer applied a 20% mark up to the cost of the product.,The retailer applied a 20% mark up to the cost of the product.,Non modifié
806,Market,Understanding the market is key to developing a successful business strategy.,Understanding the market is key to developing a successful business strategy.,Non modifié
807,Market research,Market research indicates that there is a growing demand for eco-friendly products.,Market research indicates that there is a growing demand for eco-friendly products.,Non modifié
808,Marketing,Effective marketing is crucial to the success of any product launch.,Effective marketing is crucial to the success of any product launch.,Non modifié
809,Matter,Quality customer service is a matter of priority for our business.,Quality customer service is a matter of priority for our business.,Non modifié
810,mean,The new tax law could mean higher costs for small businesses.,The new tax law could mean higher costs for small businesses.,Non modifié
811,Mechanic,The company employs a full-time mechanic to maintain its fleet of vehicles.,The company employs a full-time mechanic to maintain its fleet of vehicles.,Non modifié
812,Medic,A trained medic is always present on-site to ensure workplace safety.,A trained medic is always present on-site to ensure workplace safety.,Non modifié
813,Medical,The company offers comprehensive medical benefits to all employees.,The company offers comprehensive medical benefits to all employees.,Non modifié
814,Medication,Employees are advised to inform HR if they are on any long-term medication.,Employees are advised to inform HR if they are on any long-term medication.,Non modifié
815,Medicine,The pharmaceutical division is launching a new line of medicine next year.,The pharmaceutical division is launching a new line of medicine next year.,Non modifié
816,Meeting,The board meeting has been scheduled for 10 a.m. on Thursday.,The board meeting has been scheduled for 10 a.m. on Thursday.,Non modifié
817,Membership,The executive team has approved the company’s membership in the local business chamber.,The executive team has approved the company’s membership in the local business chamber.,Non modifié
818,Memo,A memo was sent out to all staff outlining the new office procedures.,A memo was sent out to all staff outlining the new office procedures.,Non modifié
819,Memorandum,The memorandum of understanding between the two companies was signed yesterday.,The memorandum of understanding between the two companies was signed yesterday.,Non modifié
820,Mention,Please make sure to mention our latest products during your sales pitch.,Please make sure to mention our latest products during your sales pitch.,Non modifié
821,Merchandise,The company’s new line of merchandise will be available online next month.,The company’s new line of merchandise will be available online next month.,Non modifié
822,Mere,The mere presence of a strong leader can inspire confidence in the team.,The mere presence of a strong leader can inspire confidence in the team.,Non modifié
823,Merge,The two companies plan to merge their operations to streamline services.,The two companies plan to merge their operations to streamline services.,Non modifié
824,Merger,The merger between the two tech giants was finalized last quarter.,The merger between the two tech giants was finalized last quarter.,Non modifié
825,Merger,Employees can claim mileage reimbursement for business-related travel.,Merger is important because employees can claim mileage reimbursement for business-related travel.,Modifié
826,Mileage,The company hit its target of earning a million dollars in revenue this quarter.,Mileage is important because the company hit its target of earning a million dollars in revenue this quarter.,Modifié
827,Million,"The client seemed to mishear the details of our proposal, so we clarified the terms.","Million is important because the client seemed to mishear the details of our proposal, so we clarified the terms.",Modifié
828,Mishear,The advertisement was found to be misleading and had to be retracted.,Mishear is important because the advertisement was found to be misleading and had to be retracted.,Modifié
829,Misleading,It’s important never to misrepresent the features of a product to customers.,Misleading is important because it’s important never to misrepresent the features of a product to customers.,Modifié
830,Misrepresent,"The salesperson did not intend to misrepresent the product, but the customer felt deceived by the description.","The salesperson did not intend to misrepresent the product, but the customer felt deceived by the description.",Non modifié
831,Mix-up,A mix-up in the shipping department caused the wrong items to be delivered to the customer.,A mix-up in the shipping department caused the wrong items to be delivered to the customer.,Non modifié
832,Monitor,The security team will monitor the premises 24/7 to ensure safety.,The security team will monitor the premises 24/7 to ensure safety.,Non modifié
833,monitoring,Continuous monitoring of the stock market is essential for successful trading.,Continuous monitoring of the stock market is essential for successful trading.,Non modifié
834,Monument,The city unveiled a new monument to honor the fallen heroes of the war.,The city unveiled a new monument to honor the fallen heroes of the war.,Non modifié
835,Mortgage,They decided to take out a mortgage to buy their dream home.,They decided to take out a mortgage to buy their dream home.,Non modifié
836,Motivate,The coach used various strategies to motivate the team before the big game.,The coach used various strategies to motivate the team before the big game.,Non modifié
837,Motivation,Employee motivation is key to improving productivity in the workplace.,Employee motivation is key to improving productivity in the workplace.,Non modifié
838,Napkin,He carefully placed a napkin on his lap before beginning his meal.,He carefully placed a napkin on his lap before beginning his meal.,Non modifié
839,Narrow,The narrow road made it difficult for two cars to pass each other.,The narrow road made it difficult for two cars to pass each other.,Non modifié
840,Narrowing,The narrowing of the gap between the two competitors made the race more exciting.,The narrowing of the gap between the two competitors made the race more exciting.,Non modifié
841,Neighborhood,The neighborhood is known for its friendly residents and tree-lined streets.,The neighborhood is known for its friendly residents and tree-lined streets.,Non modifié
842,Network,Building a strong network of professional contacts is crucial for career advancement.,Building a strong network of professional contacts is crucial for career advancement.,Non modifié
843,Nominate,The board will nominate three candidates for the position of CEO.,The board will nominate three candidates for the position of CEO.,Non modifié
844,Nomination,Her nomination for the award was announced at the annual gala.,Her nomination for the award was announced at the annual gala.,Non modifié
845,Notice,The employee submitted a notice of resignation to the HR department.,The employee submitted a notice of resignation to the HR department.,Non modifié
846,Notify,Please notify us immediately if there are any changes to your itinerary.,Please notify us immediately if there are any changes to your itinerary.,Non modifié
847,Objection,"The lawyer raised an objection during the trial, arguing that the evidence was inadmissible.","The lawyer raised an objection during the trial, arguing that the evidence was inadmissible.",Non modifié
848,Objective,The main objective of the project is to reduce costs by 20%.,The main objective of the project is to reduce costs by 20%.,Non modifié
849,Obligation,It is our obligation to provide accurate information to our clients.,It is our obligation to provide accurate information to our clients.,Non modifié
850,obligation,It is our obligation to provide accurate information to our clients.,It is our obligation to provide accurate information to our clients.,Non modifié
851,Oblige,The manager felt obliged to extend the deadline due to the unforeseen circumstances.,The manager felt obliged to extend the deadline due to the unforeseen circumstances.,Modifié
852,Obtain,She worked hard to obtain her master’s degree in business administration.,She worked hard to obtain her master’s degree in business administration.,Non modifié
853,obtain,You need to obtain a permit before starting the construction.,You need to obtain a permit before starting the construction.,Non modifié
854,Obviously,"Obviously, we need to review the contract before signing it.","Obviously, we need to review the contract before signing it.",Non modifié
855,Occupation,His occupation as an architect requires a great deal of creativity and precision.,His occupation as an architect requires a great deal of creativity and precision.,Non modifié
856,Occur,The error occurred because of a misunderstanding between the departments.,The error occurred because of a misunderstanding between the departments.,Modifié
857,Offer,The company decided to offer a discount to attract new customers.,The company decided to offer a discount to attract new customers.,Non modifié
858,Officer,The compliance officer ensures that all regulatory requirements are met.,The compliance officer ensures that all regulatory requirements are met.,Non modifié
859,Official,The official report will be released to the public tomorrow.,The official report will be released to the public tomorrow.,Non modifié
860,Offset,The company planted trees to offset its carbon emissions.,The company planted trees to offset its carbon emissions.,Non modifié
861,Onward,"From this day onward, all employees must clock in using the new system.","From this day onward, all employees must clock in using the new system.",Non modifié
862,Operate,The machine can operate at full capacity for eight hours without overheating.,The machine can operate at full capacity for eight hours without overheating.,Non modifié
863,Operation,"The operation was a success, and production increased by 15%.","The operation was a success, and production increased by 15%.",Non modifié
864,Opinion,"In my opinion, the new policy will benefit the company in the long run.","In my opinion, the new policy will benefit the company in the long run.",Non modifié
865,Opportunity,nan,The concept of Opportunity is widely used in various contexts.,Modifié
866,Optimistic,The team is optimistic about meeting their sales targets this quarter.,The team is optimistic about meeting their sales targets this quarter.,Non modifié
867,Order,Please place your order before the end of the day to ensure next-day delivery.,Please place your order before the end of the day to ensure next-day delivery.,Non modifié
868,Organization,The organization is known for its charitable work and community service.,The organization is known for its charitable work and community service.,Non modifié
869,Organize,We need to organize a meeting to discuss the upcoming project.,We need to organize a meeting to discuss the upcoming project.,Non modifié
870,Organized,"The event was well-organized, with everything running smoothly.","The event was well-organized, with everything running smoothly.",Non modifié
871,Original,The original manuscript was found in the library archives.,The original manuscript was found in the library archives.,Non modifié
872,Outlet,The company opened a new outlet in the downtown shopping district.,The company opened a new outlet in the downtown shopping district.,Non modifié
873,Outline,The presentation should include an outline of the project’s objectives and timeline.,The presentation should include an outline of the project’s objectives and timeline.,Non modifié
874,Outlook,The economic outlook for the next quarter is positive.,The economic outlook for the next quarter is positive.,Non modifié
875,Outsource,The company decided to outsource its customer service operations to reduce costs.,The company decided to outsource its customer service operations to reduce costs.,Non modifié
876,Outstanding,The accountant found several outstanding invoices that needed to be paid.,The accountant found several outstanding invoices that needed to be paid.,Non modifié
877,Overall,"Overall, the project was a success, despite a few minor setbacks.","Overall, the project was a success, despite a few minor setbacks.",Non modifié
878,Overcrowded,"The subway was overcrowded during rush hour, making it difficult to board.","The subway was overcrowded during rush hour, making it difficult to board.",Non modifié
879,Overdraft,He was charged an overdraft fee for withdrawing more money than he had in his account.,He was charged an overdraft fee for withdrawing more money than he had in his account.,Non modifié
880,overdrew,She accidentally overdrew her account by making an unexpected purchase.,She accidentally overdrew her account by making an unexpected purchase.,Non modifié
881,overflowed,"The river overflowed its banks after the heavy rainfall, causing widespread flooding.","The river overflowed its banks after the heavy rainfall, causing widespread flooding.",Non modifié
882,overran,The project overran its budget due to unexpected costs.,The project overran its budget due to unexpected costs.,Non modifié
883,Overseas,The company is expanding its operations to several overseas markets.,The company is expanding its operations to several overseas markets.,Non modifié
884,Overtime,The employees worked overtime to complete the project by the deadline.,The employees worked overtime to complete the project by the deadline.,Non modifié
885,overtook,The new product quickly overtook the competition in market share.,The new product quickly overtook the competition in market share.,Non modifié
886,Overview,The report provides an overview of the company's performance over the last year.,The report provides an overview of the company's performance over the last year.,Non modifié
887,Owepackage,You still owe a package of deliverables to the client.,Owepackage is important because you still owe a package of deliverables to the client.,Modifié
888,Package,The package was delivered to your office this morning.,The package was delivered to your office this morning.,Non modifié
889,Package tour,"The package tour included flights, accommodation, and guided excursions.","The package tour included flights, accommodation, and guided excursions.",Non modifié
890,Parcel,The parcel arrived a day earlier than expected.,The parcel arrived a day earlier than expected.,Non modifié
891,Parking lot,"The parking lot was full, so we had to park on the street.","The parking lot was full, so we had to park on the street.",Non modifié
892,Participant,Each participant in the workshop received a certificate of completion.,Each participant in the workshop received a certificate of completion.,Non modifié
893,Particularly,She was particularly interested in the seminar on digital marketing.,She was particularly interested in the seminar on digital marketing.,Non modifié
894,particulars,Please provide the particulars of the agreement in writing.,Please provide the particulars of the agreement in writing.,Non modifié
895,Party,The company hosted a party to celebrate its 50th anniversary.,The company hosted a party to celebrate its 50th anniversary.,Non modifié
896,Passenger,Each passenger must present a valid ticket before boarding the train.,Each passenger must present a valid ticket before boarding the train.,Non modifié
897,Patent,The inventor filed for a patent to protect his new design.,The inventor filed for a patent to protect his new design.,Non modifié
898,Patented,"The product was patented, preventing competitors from copying the design.","The product was patented, preventing competitors from copying the design.",Non modifié
899,Patience,Patience is key when dealing with difficult customers.,Patience is key when dealing with difficult customers.,Non modifié
900,Pay off,Hard work and dedication will eventually pay off.,Hard work and dedication will eventually pay off.,Non modifié
901,Payment,Please make the payment by the due date to avoid late fees.,Please make the payment by the due date to avoid late fees.,Non modifié
902,peculiarities,The peculiarities of the local market must be considered in our strategy.,The peculiarities of the local market must be considered in our strategy.,Non modifié
903,peg,The exchange rate was pegged to the dollar to stabilize the economy.,The exchange rate was pegged to the dollar to stabilize the economy.,Modifié
904,Perform,The musician will perform at the concert hall tonight.,The musician will perform at the concert hall tonight.,Non modifié
905,perform,He was asked to perform several tasks outside his usual responsibilities.,He was asked to perform several tasks outside his usual responsibilities.,Non modifié
906,Performance,The company’s financial performance exceeded expectations this quarter.,The concept of Performance is widely used in various contexts.,Non modifié
907,Permanent,She was offered a permanent position after completing her probationary period.,She was offered a permanent position after completing her probationary period.,Non modifié
908,Permission,You must obtain permission from the manager before taking time off.,You must obtain permission from the manager before taking time off.,Non modifié
909,Permit,The city issued a permit for the construction of the new building.,The city issued a permit for the construction of the new building.,Non modifié
910,Personal,She keeps her personal and professional life separate.,She keeps her personal and professional life separate.,Non modifié
911,Personalized,The company offers personalized service to each of its clients.,The company offers personalized service to each of its clients.,Non modifié
912,Personnel,The personnel department is responsible for hiring and training new employees.,The personnel department is responsible for hiring and training new employees.,Non modifié
913,Persuade,He managed to persuade the board to approve the new project.,He managed to persuade the board to approve the new project.,Non modifié
914,Pessimistic,The economist was pessimistic about the prospects for economic recovery.,The economist was pessimistic about the prospects for economic recovery.,Non modifié
915,Phase out,The company plans to phase out its older products to make room for new ones.,The company plans to phase out its older products to make room for new ones.,Non modifié
916,pick on,It's not fair to pick on someone just because they're different.,It's not fair to pick on someone just because they're different.,Non modifié
917,pick out,She helped her friend pick out a dress for the party.,She helped her friend pick out a dress for the party.,Non modifié
918,Pick up,Can you pick up the package from the post office on your way home?,Can you pick up the package from the post office on your way home?,Non modifié
919,Pick up the check,He generously offered to pick up the check at the restaurant.,He generously offered to pick up the check at the restaurant.,Non modifié
920,pick with,He always seems to pick with people who disagree with him.,He always seems to pick with people who disagree with him.,Non modifié
921,Plant,The company is opening a new manufacturing plant in the region.,The company is opening a new manufacturing plant in the region.,Non modifié
922,Platform,The new software platform will improve efficiency across the organization.,The new software platform will improve efficiency across the organization.,Non modifié
923,Pleasant,It was a pleasant surprise to see an old friend at the conference.,It was a pleasant surprise to see an old friend at the conference.,Non modifié
924,Plow,The farmer used a tractor to plow the fields before planting crops.,The farmer used a tractor to plow the fields before planting crops.,Non modifié
925,Plug in,Make sure to plug in the device before turning it on.,Make sure to plug in the device before turning it on.,Non modifié
926,Plumber,We had to call a plumber to fix the leaking pipe in the kitchen.,We had to call a plumber to fix the leaking pipe in the kitchen.,Non modifié
927,Point,The speaker made an important point about the need for sustainable practices.,The speaker made an important point about the need for sustainable practices.,Non modifié
928,Pointless,Arguing with him is pointless because he never changes his mind.,Arguing with him is pointless because he never changes his mind.,Non modifié
929,Policy,The company’s new policy requires employees to wear ID badges at all times.,The company’s new policy requires employees to wear ID badges at all times.,Non modifié
930,Polite,"It’s important to be polite when dealing with customers, even in difficult situations.","It’s important to be polite when dealing with customers, even in difficult situations.",Non modifié
931,political,The political climate in the country is affecting business operations.,The political climate in the country is affecting business operations.,Non modifié
932,politically,The decision was made to avoid any politically sensitive issues.,The decision was made to avoid any politically sensitive issues.,Non modifié
933,Politician,The politician gave a speech on the importance of education reform.,The politician gave a speech on the importance of education reform.,Non modifié
934,politician,The politician was criticized for not keeping his campaign promises.,The politician was criticized for not keeping his campaign promises.,Non modifié
935,Politics,Office politics can sometimes be as challenging as,Office politics can sometimes be as challenging as,Non modifié
936,Poll,The latest poll shows that the candidate is leading by a narrow margin.,The latest poll shows that the candidate is leading by a narrow margin.,Non modifié
937,Pollute,Factories that pollute the environment are subject to heavy fines.,Factories that pollute the environment are subject to heavy fines.,Non modifié
938,Popular,The new smartphone model is very popular among consumers.,The new smartphone model is very popular among consumers.,Non modifié
939,Popularity,The popularity of the product soared after the ad campaign.,The popularity of the product soared after the ad campaign.,Non modifié
940,Position,She was promoted to the position of marketing manager.,She was promoted to the position of marketing manager.,Non modifié
941,Postpone,The meeting was postponed until next week due to scheduling conflicts.,The meeting was postponed until next week due to scheduling conflicts.,Modifié
942,Postpone,The postponement of the event disappointed many attendees.,Postpone is important because the postponement of the event disappointed many attendees.,Modifié
943,Postponement,The new market has great potential for growth.,Postponement is important because the new market has great potential for growth.,Modifié
944,Potential,The power outage caused significant disruption to the manufacturing process.,Potential is important because the power outage caused significant disruption to the manufacturing process.,Modifié
945,Power,The course offers practical advice for starting a small business.,Power is important because the course offers practical advice for starting a small business.,Modifié
946,Practical,The solution was practically perfect for the problem at hand.,The solution was practically perfect for the problem at hand.,Modifié
947,Practically,Analysts predict that the company’s profits will increase next year.,Practically is important because analysts predict that the company’s profits will increase next year.,Modifié
948,Predict,The outcome of the negotiation was predictable given the circumstances.,The outcome of the negotiation was predictable given the circumstances.,Modifié
949,Predictable,I prefer to work in a quiet environment where I can concentrate.,Predictable is important because i prefer to work in a quiet environment where i can concentrate.,Modifié
950,Prefer,Most customers prefer the new model over the old one.,Most customers prefer the new model over the old one.,Non modifié
951,prefer,"The position requires a degree in engineering, preferably with some experience.","The position requires a degree in engineering, preferably with some experience.",Modifié
952,preferably,She has a preference for working with international clients.,Preferably is important because she has a preference for working with international clients.,Modifié
953,Preference,The company’s preference is to hire candidates with relevant experience.,The company’s preference is to hire candidates with relevant experience.,Non modifié
954,preference,He is the preferred candidate for the job due to his extensive experience.,Preference is important because he is the preferred candidate for the job due to his extensive experience.,Modifié
955,preferred,Smoking is not allowed on the company premises.,Preferred is important because smoking is not allowed on the company premises.,Modifié
956,Premises,It’s important to prepare thoroughly before the client meeting.,Premises is important because it’s important to prepare thoroughly before the client meeting.,Modifié
957,Prepare,The CEO will present the annual report to the board of directors.,Prepare is important because the ceo will present the annual report to the board of directors.,Modifié
958,Present,The presentation was well-received by the audience.,The presentation was well-received by the audience.,Modifié
959,Presentation,The press conference will be held at the main office tomorrow.,Presentation is important because the press conference will be held at the main office tomorrow.,Modifié
960,Press,The new policy is designed to prevent fraud in the financial system.,The concept of Press is widely used in various contexts.,Modifié
961,Prevent,Prevention of data breaches is a top priority for the IT department.,Prevention of data breaches is a top priority for the IT department.,Modifié
962,Prevention,The price of the product was reduced to attract more customers.,Prevention is important because the price of the product was reduced to attract more customers.,Modifié
963,Price,The painting was considered priceless due to its historical significance.,The painting was considered priceless due to its historical significance.,Modifié
964,Priceless,The experience of working with a mentor was priceless for her career.,The experience of working with a mentor was priceless for her career.,Non modifié
965,priceless,The company’s efforts are primarily focused on expanding into new markets.,Priceless is important because the company’s efforts are primarily focused on expanding into new markets.,Modifié
966,Primarily,The issue is primarily a matter of resource allocation.,The issue is primarily a matter of resource allocation.,Non modifié
967,primarily (adverb),The principal reason for the delay was a shortage of materials.,Primarily (adverb) is important because the principal reason for the delay was a shortage of materials.,Modifié
968,Principal,The company operates on the principle of honesty and integrity.,Principal is important because the company operates on the principle of honesty and integrity.,Modifié
969,Principle,Ensuring customer satisfaction is our top priority.,Principle is important because ensuring customer satisfaction is our top priority.,Modifié
970,Priority,The project was given priority due to its importance to the company.,The project was given priority due to its importance to the company.,Non modifié
971,Priority,The meeting was held in private to discuss sensitive matters.,Priority is important because the meeting was held in private to discuss sensitive matters.,Modifié
972,Private,The probability of success depends on several factors.,Private is important because the probability of success depends on several factors.,Modifié
973,Probability,He will probably attend the conference if his schedule allows.,Probability is important because he will probably attend the conference if his schedule allows.,Modifié
974,Probably,New employees must complete a probationary period before becoming permanent.,Probably is important because new employees must complete a probationary period before becoming permanent.,Modifié
975,Probationary,"After receiving approval, the team will proceed with the project.","Probationary is important because after receiving approval, the team will proceed with the project.",Modifié
976,Proceed,"The hiring process involves several stages, including interviews and background checks.","Proceed is important because the hiring process involves several stages, including interviews and background checks.",Modifié
977,Process,The team had a productive meeting where several ideas were generated.,Process is important because the team had a productive meeting where several ideas were generated.,Modifié
978,Productive,"She had a very productive day, completing all her tasks ahead of schedule.","She had a very productive day, completing all her tasks ahead of schedule.",Non modifié
979,productive (adjective),She chose medicine as her profession because of her passion for helping others.,Productive (adjective) is important because she chose medicine as her profession because of her passion for helping others.,Modifié
980,Profession,It’s important to maintain a professional attitude in the workplace.,It’s important to maintain a professional attitude in the workplace.,Modifié
981,Professional,The company’s profile has risen since it was featured in a major business magazine.,Professional is important because the company’s profile has risen since it was featured in a major business magazine.,Modifié
982,Profile,The company’s profit increased by 15% compared to last year.,Profile is important because the company’s profit increased by 15% compared to last year.,Modifié
983,Profit,The profitability of the new product line is higher than expected.,The profitability of the new product line is higher than expected.,Modifié
984,Profitability,The investment proved to be highly profitable within just a few months.,Profitability is important because the investment proved to be highly profitable within just a few months.,Modifié
985,Profitable,The team made significant progress on the project this week.,Profitable is important because the team made significant progress on the project this week.,Modifié
986,Progress,The progress of the construction project is being closely monitored.,The progress of the construction project is being closely monitored.,Non modifié
987,Progress,The company takes a progressive approach to employee development.,The company takes a progressive approach to employee development.,Modifié
988,Progressive,The new law will prohibit smoking in all public places.,Progressive is important because the new law will prohibit smoking in all public places.,Modifié
989,Prohibit,The company is planning a new project that will expand its market share.,Prohibit is important because the company is planning a new project that will expand its market share.,Modifié
